gene_ID,control_12,control_26,control_11,control_14,control_6,GBM_27,GBM_29,GBM_3,GBM_8,GBM_9,metastasis_21,metastasis_22,metastasis_23,metastasis_28,metastasis_30,control_15,metastasis_16
ENSG00000228696,3,23,20,18,16,1,0,19,11,30,0,0,0,4,19,14,6
ENSG00000176681,6,13,25,49,12,11,8,27,15,3,0,12,2,3,1,0,60
ENSG00000238083,35,96,328,360,177,151,20,203,89,131,0,49,11,62,159,294,201
ENSG00000185829,4,13,19,23,36,3,1,36,21,23,0,4,0,7,22,17,0
ENSG00000073969,450,741,1185,1985,1451,385,51,1461,2103,2308,1,116,41,254,292,1591,2199
ENSG00000108379,1,2,29,15,4,17,5,36,12,2,0,0,1,31,12,0,0
ENSG00000158955,23,10,34,37,9,9,1,12,0,0,0,7,0,25,7,45,0
ENSG00000108433,365,672,1305,1145,1344,818,68,2266,864,1079,3,123,80,439,787,1363,545
ENSG00000262633,142,329,371,461,473,288,13,818,240,392,0,43,34,166,261,606,243
ENSG00000179673,0,2,3,0,0,9,4,1,1,0,0,1,0,0,3,0,0
ENSG00000004897,513,1022,1768,1375,1568,625,64,2577,1431,1403,0,78,72,330,766,1161,1046
ENSG00000198336,3,19,9,1,9,55,0,58,10,21,9,24,3,10,36,0,4
ENSG00000259207,508,342,1522,1533,404,414,4,1037,759,1175,11,64,65,682,343,1358,1361
ENSG00000259753,348,269,1095,1169,349,338,3,816,577,768,0,69,55,576,313,1208,1042
ENSG00000178852,58,247,266,426,202,129,2,308,332,202,0,9,14,149,122,314,224
ENSG00000141279,341,592,1260,1284,1220,718,70,1530,1407,1490,2,140,51,760,694,1807,1696
ENSG00000108424,2579,3202,4620,6556,5225,1792,207,6350,7791,6131,4,243,205,1145,1494,6763,6765
ENSG00000198933,136,169,432,219,422,846,151,602,168,224,0,45,47,479,581,640,264
ENSG00000073861,3,0,5,96,20,4,1,11,7,4,0,0,0,13,3,177,7
ENSG00000006025,69,126,240,196,171,468,61,304,252,148,0,60,24,356,403,264,121
ENSG00000159111,110,241,393,294,419,112,13,431,273,483,0,7,5,78,110,293,202
ENSG00000141294,5,7,3,10,13,25,3,12,12,19,0,1,7,12,4,0,3
ENSG00000141295,77,222,307,223,274,331,68,182,295,319,0,51,25,257,331,545,236
ENSG00000189120,3,2,10,1,0,90,6,147,7,24,7,0,24,45,54,36,25
ENSG00000167182,199,870,1001,800,1560,288,31,853,1049,987,7,0,32,151,306,1517,1759
ENSG00000108439,302,538,634,996,796,153,25,1064,1985,1441,0,21,32,177,163,444,1020
ENSG00000167183,5,0,0,1,0,0,2,0,0,0,0,0,0,11,25,0,38
ENSG00000108465,450,390,655,1188,569,1062,663,1761,939,736,60,195,91,854,968,1600,1225
ENSG00000005243,41,235,233,115,384,66,13,74,109,151,12,5,5,74,60,135,77
ENSG00000082641,2288,5828,9772,5107,9334,3196,353,5313,5590,5629,31,184,210,2407,3168,7060,2915
